"id","generation","time_period","primary_console","game_media","price","id-2","first_name","last_name","designation","age","salary","unit"
93,"Fourth","1987-1999","Super Nintendo Entertainment System","Game cartridges"," $199.99 ",93,"KATELYN","APPENZELLER","Senior Analyst",28,56314,"Finance"
94,"Fourth","1987-2000","Game Gear","Game cartridges"," $149.99 ",94,"WILLIS","ADAN","Analyst",25,49785,"Operations"
95,"Fourth","1987-2001","Game Boy","Game cartridges"," $89.95 ",95,"RUTH","ALO","Analyst",24,41284,"Web"
96,"Fifth","1993-2001","Sega Saturn","Optical media"," $399.99 ",96,"JOSEFA","APPLEWHAITE","Analyst",22,40562,"Finance"
97,"Fifth","1993-2002","Sony PlayStation","Optical Meda"," $299.99 ",97,"OSCAR","ABLING","Analyst",22,46741,"Operations"
98,"Fifth","1993-2003","Game Boy Color","Game Cartridges"," $69.99 ",98,"ROOSEVELT","ADES","Analyst",24,45100,"Operations"
99,"Fifth","1993-2004","Nintendo 64","Game Cartridges"," $199.99 ",99,"MARVIN","ABELS","Analyst",22,41712,"IT"
100,"Sixth","1998-2006","Sega Dreamcast","Optical media"," $199.99 ",100,"MARCELLA","AMY","Analyst",24,47069,"Operations"
101,"Sixth","1998-2007","Sony PlayStation 2","Optical media"," $299.99 ",101,"KARL","ACCETTURO","Analyst",25,40460,"Web"
102,"Sixth","1998-2008","Nintendo GameCube","Optical media"," $199.99 ",102,"WALTER","ABATE","Analyst",24,47068,"Finance"
103,"Sixth","1998-2009","Game Boy Advance","Game Cartridges"," $99.99 ",103,"ELIZA","ANSBACHER","Senior Analyst",25,50813,"Marketing"
104,"Sixth","1998-2010","Microsoft Xbox","Optical media"," $299.99 ",104,"YONG","ALDERFER","Manager",33,129191,"Operations"
105,"Seventh","2004-2014","Microsoft Xbox 360","Optical media, digital distribution"," $399.99 ",105,"CARI","ARENALES","Senior Analyst",28,66338,"Web"
106,"Seventh","2004-2015","Sony PlayStation 3","Optical media, digital distribution"," $599.99 ",106,"ALVA","ALAMPI","Analyst",24,46749,"Operations"
107,"Seventh","2004-2016","Nintendo DS","Game Cartridges, Digital distribution"," $149.99 ",107,"REINA","ARMAGOST","Manager",33,108665,"Finance"
108,"Seventh","2004-2017","Playstation Portable","Optical media, digital distribution"," $249.99 ",108,"ERICKA","ANTHONY","Associate",32,76964,"Management"
109,"Seventh","2004-2018","Nintendo Wii","Optical media, digital distribution"," $249.99 ",109,"LUIGI","ALLYNE","Analyst",24,47417,"Marketing"
110,"Eighth","2011-Present","Nintendo Wii U","Optical media, digital distribution"," $299.99 ",110,"JEFFEREY","ALEXY","Analyst",21,47669,"IT"
111,"Eighth","2011-Present","Sony PlayStation 4","Optical media, digital distribution"," $399.99 ",111,"ROBERT","ARCAND","Analyst",21,40318,"Finance"
112,"Eighth","2011-Present","Microsoft Xbox One","Optical media, digital distribution"," $499.99 ",112,"HAYWOOD","ALKINS","Analyst",23,46743,"IT"
113,"Eighth","2011-Present","Nintendo 3DS","Game cartridges. Digital Distribution"," $249.99 ",113,"STAN","AGRESTO","Analyst",25,40060,"Management"
114,"Eighth","2011-Present","Playstation Vita","Optical media, digital distribution"," $299.99 ",114,"BETTIE","ANDUJAR","Analyst",25,46129,"Management"
115,"Eighth","2011-Present","Nintendo Switch","Game cartridges. Digital Distribution"," $299.99 ",115,"ALLAN","ACEVES","Senior Manager",38,189435,"Marketing"
116,"Ninth","2020–present","Microsoft Xbox Series X","Optical media, digital distribution"," $499.99 ",116,"ELEANORE","ARENA","Senior Analyst",26,62537,"Management"
117,"Ninth","2020–present","Microsoft Xbox Series S","Optical media, digital distribution"," $299.99 ",117,"ERIC","ABAJIAN","Analyst",24,44145,"Management"
118,"Ninth","2020–present","Sony PlayStation 5 (Digital Edition)","Optical media, digital distribution"," $499.99 ",118,"LEIGH","ANAWALT","Analyst",22,47998,"Marketing"
119,"Ninth","2020–present","Sony PlayStation 5 (Disc Edition)","Optical media, digital distribution"," $399.99 ",119,"ARON","ALBOR","Analyst",25,49310,"Marketing"
120,"First","1972-1978","Magnavox Odyssey","Dedicated consoles"," $99.00 ",120,"KAREN","ALMSTEAD","Analyst",24,49235,"Management"
121,"First","1972-1979","Home Pong","Dedicated consoles"," $98.95 ",121,"KENDRICK","AHIMUD","Senior Analyst",26,68245,"Finance"
122,"First","1972-1980","Coleco Telstar series","Dedicated consoles"," $50.00 ",122,"LAKESHA","ARDEN","Analyst",23,47498,"Finance"
123,"Second","1976-1984","Fairchild Channel F","Game cartridges"," $169.95 ",123,"JUNIOR","AGORAS","Analyst",25,40636,"Finance"
124,"Second","1976-1985","Atari 2600","Game cartridges"," $199.00 ",124,"ERNESTINE","AMUSO","Analyst",25,45233,"Operations"
125,"Second","1976-1986","Mattel Intellivision","Game cartridges"," $299.00 ",125,"TERESITA","ARENTZ","Senior Analyst",27,53275,"Finance"
126,"Second","1976-1987","Magnavox Odyssey 2","Game cartridges"," $199.00 ",126,"ESTHER","ALTSCHULER","Analyst",24,43540,"Web"
127,"Second","1976-1988","ColecoVision","Game cartridges"," $199.00 ",127,"BERRY","ALDONZA","Analyst",21,40275,"Management"
128,"Third","1983-1991","Nintendo Entertainment System","Game cartridges"," $180.00 ",128,"WENDELL","ACREE","Analyst",21,44361,"Web"
129,"Third","1983-1992","Sega Master System","Game cartridges"," $199.99 ",129,"RUBEN","ABSHEAR","Analyst",25,41936,"Web"
130,"Third","1983-1993","Atari 7800","Game cartridges"," $140.00 ",130,"PATTIE","ARGUIN","Analyst",21,45830,"Finance"
131,"Fourth","1987-1996","TurboGrafx-16","Game cartridges"," $199.00 ",131,"ISABEL","AMICI","Analyst",23,44521,"Web"
132,"Fourth","1987-1997","Sega Genesis","Game cartridges"," $189.99 ",132,"BRODERICK","ALMERICO","Analyst",22,45997,"Management"
133,"Fourth","1987-1998","Neo Geo","Game cartridges"," $650.00 ",133,"JEREMY","ABDELLA","Analyst",25,44218,"Finance"
134,"Fourth","1987-1999","Super Nintendo Entertainment System","Game cartridges"," $199.99 ",134,"KELLI","AMORIELLO","Manager",35,140926,"Finance"
135,"Fourth","1987-2000","Game Gear","Game cartridges"," $149.99 ",135,"MARIETTA","APPLEBAUM","Analyst",21,48886,"Operations"
136,"Fourth","1987-2001","Game Boy","Game cartridges"," $89.95 ",136,"CHADWICK","ALATOSSE","Analyst",23,49081,"Operations"
137,"Fifth","1993-2001","Sega Saturn","Optical media"," $399.99 ",137,"NONA","APODACA","Analyst",23,42195,"Operations"
138,"Fifth","1993-2002","Sony PlayStation","Optical Meda"," $299.99 ",138,"JON","ABOLT","Senior Analyst",25,50130,"Marketing"
139,"Fifth","1993-2003","Game Boy Color","Game Cartridges"," $69.99 ",139,"JORDON","ALLARA","Senior Analyst",25,55472,"Finance"
140,"Fifth","1993-2004","Nintendo 64","Game Cartridges"," $199.99 ",140,"LAWRENCE","ABBOT","Analyst",25,43269,"Operations"
141,"Sixth","1998-2006","Sega Dreamcast","Optical media"," $199.99 ",141,"LEANNE","ANNABEL","Analyst",22,43712,"Operations"
142,"Sixth","1998-2007","Sony PlayStation 2","Optical media"," $299.99 ",142,"LES","ALCIVAR","Analyst",25,42377,"Marketing"
143,"Sixth","1998-2008","Nintendo GameCube","Optical media"," $199.99 ",143,"DEIDRA","ARCHANGEL","Senior Analyst",28,69316,"Operations"
144,"Sixth","1998-2009","Game Boy Advance","Game Cartridges"," $99.99 ",144,"GERI","ARDENEAUX","Analyst",23,46418,"Marketing"
145,"Sixth","1998-2010","Microsoft Xbox","Optical media"," $299.99 ",145,"MANUAL","ALLFORD","Senior Analyst",28,65566,"Marketing"
146,"Seventh","2004-2014","Microsoft Xbox 360","Optical media, digital distribution"," $399.99 ",146,"CELESTINE","ARGIRO","Analyst",24,48976,"Finance"
147,"Seventh","2004-2015","Sony PlayStation 3","Optical media, digital distribution"," $599.99 ",147,"JAVIER","ACEDO","Analyst",23,43760,"Marketing"
148,"Seventh","2004-2016","Nintendo DS","Game Cartridges, Digital distribution"," $149.99 ",148,"CAREN","ARGO","Analyst",22,41047,"Operations"
149,"Seventh","2004-2017","Playstation Portable","Optical media, digital distribution"," $249.99 ",149,"DEBBIE","ALUARADO","Analyst",25,43225,"Operations"
150,"Seventh","2004-2018","Nintendo Wii","Optical media, digital distribution"," $249.99 ",150,"MICHAEL","AAGAARD","Analyst",22,42361,"Marketing"
151,"Eighth","2011-Present","Nintendo Wii U","Optical media, digital distribution"," $299.99 ",151,"MARLENE","AMAYA","Analyst",22,43835,"Management"
152,"Eighth","2011-Present","Sony PlayStation 4","Optical media, digital distribution"," $399.99 ",152,"HESTER","ARAGAO","Analyst",25,47326,"Operations"
153,"Eighth","2011-Present","Microsoft Xbox One","Optical media, digital distribution"," $499.99 ",153,"ULYSSES","AILTS","Senior Analyst",25,61221,"Marketing"
154,"Eighth","2011-Present","Nintendo 3DS","Game cartridges. Digital Distribution"," $249.99 ",154,"INES","ARB","Analyst",21,42943,"Finance"
155,"Eighth","2011-Present","Playstation Vita","Optical media, digital distribution"," $299.99 ",155,"JESSE","ABDULKARIM","Analyst",23,48751,"Operations"
156,"Eighth","2011-Present","Nintendo Switch","Game cartridges. Digital Distribution"," $299.99 ",156,"CLAY","AERTS","Analyst",22,42136,"Finance"
157,"Ninth","2020–present","Microsoft Xbox Series X","Optical media, digital distribution"," $499.99 ",157,"MERCEDES","ANASTASI","Analyst",21,42472,"Web"
158,"Ninth","2020–present","Microsoft Xbox Series S","Optical media, digital distribution"," $299.99 ",158,"BRANDON","ABBY","Analyst",22,46677,"IT"
159,"Ninth","2020–present","Sony PlayStation 5 (Digital Edition)","Optical media, digital distribution"," $499.99 ",159,"BILL","ABOSHIHATA","Analyst",25,45977,"Web"
160,"Ninth","2020–present","Sony PlayStation 5 (Disc Edition)","Optical media, digital distribution"," $399.99 ",160,"ALFREDO","ACHZIGER","Analyst",25,41345,"Web"
161,"First","1972-1978","Magnavox Odyssey","Dedicated consoles"," $99.00 ",161,"NICOLE","ALSOBROOK","Director",41,323196,"Marketing"
162,"First","1972-1979","Home Pong","Dedicated consoles"," $98.95 ",162,"GOLDIE","ANERTON","Analyst",22,42727,"Marketing"
163,"First","1972-1980","Coleco Telstar series","Dedicated consoles"," $50.00 ",163,"ELIAS","ADSIT","Senior Analyst",25,53218,"Marketing"
164,"Second","1976-1984","Fairchild Channel F","Game cartridges"," $169.95 ",164,"SUN","ARDIZZONE","Analyst",21,48422,"IT"
165,"Second","1976-1985","Atari 2600","Game cartridges"," $199.00 ",165,"BOOKER","AKRIGHT","Associate",32,83066,"IT"
166,"Second","1976-1986","Mattel Intellivision","Game cartridges"," $299.00 ",166,"LEEANN","ARCHILA","Analyst",21,41627,"Operations"
167,"Second","1976-1987","Magnavox Odyssey 2","Game cartridges"," $199.00 ",167,"DEREK","ABOULISSAN","Director",42,388112,"Marketing"
168,"Second","1976-1988","ColecoVision","Game cartridges"," $199.00 ",168,"DAWN","ALTIER","Analyst",23,44469,"Web"
169,"Third","1983-1991","Nintendo Entertainment System","Game cartridges"," $180.00 ",169,"SHELTON","AKUCHIE","Analyst",24,41109,"Marketing"
170,"Third","1983-1992","Sega Master System","Game cartridges"," $199.99 ",170,"LEOPOLDO","ALBORN","Analyst",23,43924,"Operations"
171,"Third","1983-1993","Atari 7800","Game cartridges"," $140.00 ",171,"DARREN","ACERO","Senior Analyst",25,64232,"Operations"
172,"Fourth","1987-1996","TurboGrafx-16","Game cartridges"," $199.00 ",172,"ARMANDO","ACHENBACH","Analyst",22,49644,"Operations"
173,"Fourth","1987-1997","Sega Genesis","Game cartridges"," $189.99 ",173,"DELPHINE","AREVALO","Director",43,284733,"Web"
174,"Fourth","1987-1998","Neo Geo","Game cartridges"," $650.00 ",174,"IDA","ALVIRA","Analyst",22,48802,"Operations"
175,"Fourth","1987-1999","Super Nintendo Entertainment System","Game cartridges"," $199.99 ",175,"ALECIA","ARIANO","Analyst",21,41748,"IT"
176,"Fourth","1987-2000","Game Gear","Game cartridges"," $149.99 ",176,"JUAN","ABBASSI","Senior Analyst",27,61575,"Finance"
177,"Fourth","1987-2001","Game Boy","Game cartridges"," $89.95 ",177,"YOLANDA","ALWAN","Analyst",24,46062,"Marketing"
178,"Fifth","1993-2001","Sega Saturn","Optical media"," $399.99 ",178,"EMMA","ALTSISI","Analyst",25,40251,"Finance"
179,"Fifth","1993-2002","Sony PlayStation","Optical Meda"," $299.99 ",179,"OCTAVIO","ALAMEIDA","Analyst",21,42416,"Management"
180,"Fifth","1993-2003","Game Boy Color","Game Cartridges"," $69.99 ",180,"LEILA","ANNUNZIATA","Analyst",22,43951,"Finance"
181,"Fifth","1993-2004","Nintendo 64","Game Cartridges"," $199.99 ",181,"CECIL","ABUD","Analyst",25,47903,"Finance"
182,"Sixth","1998-2006","Sega Dreamcast","Optical media"," $199.99 ",182,"CHARLES","ARMSTER","Analyst",22,45275,"Operations"
183,"Sixth","1998-2007","Sony PlayStation 2","Optical media"," $299.99 ",183,"FELIX","ACHESON","Senior Analyst",26,61046,"Finance"
184,"Sixth","1998-2008","Nintendo GameCube","Optical media"," $199.99 ",184,"JAQUELINE","AREHART","Analyst",25,48204,"Web"
185,"Sixth","1998-2009","Game Boy Advance","Game Cartridges"," $99.99 ",185,"GALE","ANNARUMO","Senior Analyst",27,51053,"Operations"
186,"Sixth","1998-2010","Microsoft Xbox","Optical media"," $299.99 ",186,"FRANCIS","ABERSON","Analyst",22,42560,"Operations"
187,"Seventh","2004-2014","Microsoft Xbox 360","Optical media, digital distribution"," $399.99 ",187,"TAMMI","APADACA","Analyst",25,40947,"Marketing"
188,"Seventh","2004-2015","Sony PlayStation 3","Optical media, digital distribution"," $599.99 ",188,"LOUELLA","ARBRY","Senior Analyst",28,68432,"IT"
189,"Seventh","2004-2016","Nintendo DS","Game Cartridges, Digital distribution"," $149.99 ",189,"JOYCE","ALQUIJAY","Analyst",24,44561,"Management"
190,"Seventh","2004-2017","Playstation Portable","Optical media, digital distribution"," $249.99 ",190,"MARGUERITE","AMICK","Senior Analyst",26,63882,"Operations"
191,"Seventh","2004-2018","Nintendo Wii","Optical media, digital distribution"," $249.99 ",191,"KENTON","ALEXANDRA","Analyst",23,45903,"Finance"
192,"Eighth","2011-Present","Nintendo Wii U","Optical media, digital distribution"," $299.99 ",192,"CODY","ACEUEDO","Analyst",23,48470,"Web"
193,"Eighth","2011-Present","Sony PlayStation 4","Optical media, digital distribution"," $399.99 ",193,"FRANKIE","ANETSBERGER","Analyst",23,45704,"Finance"
194,"Eighth","2011-Present","Microsoft Xbox One","Optical media, digital distribution"," $499.99 ",194,"MILLICENT","ARAMBOLES","Senior Analyst",25,57064,"Management"
195,"Eighth","2011-Present","Nintendo 3DS","Game cartridges. Digital Distribution"," $249.99 ",195,"DEE","ALEVEDO","Analyst",22,48546,"IT"
196,"Eighth","2011-Present","Playstation Vita","Optical media, digital distribution"," $299.99 ",196,"ZELMA","ANTONELLI","Senior Analyst",28,50044,"Operations"
197,"Eighth","2011-Present","Nintendo Switch","Game cartridges. Digital Distribution"," $299.99 ",197,"PEARL","AMARA","Analyst",21,41604,"Marketing"
198,"Ninth","2020–present","Microsoft Xbox Series X","Optical media, digital distribution"," $499.99 ",198,"CARIDAD","ARMWOOD","Analyst",23,45022,"Finance"
199,"Ninth","2020–present","Microsoft Xbox Series S","Optical media, digital distribution"," $299.99 ",199,"ELDON","AGOFF","Manager",33,107432,"Web"
200,"Ninth","2020–present","Sony PlayStation 5 (Digital Edition)","Optical media, digital distribution"," $499.99 ",200,"SHANDA","ARJONA","Analyst",24,45499,"IT"
201,"Ninth","2020–present","Sony PlayStation 5 (Disc Edition)","Optical media, digital distribution"," $399.99 ",201,"HEATH","AGNES","Analyst",22,47846,"Marketing"
202,"First","1972-1978","Magnavox Odyssey","Dedicated consoles"," $99.00 ",202,"ROCIO","ARCURI","Senior Analyst",28,67299,"Operations"
203,"First","1972-1979","Home Pong","Dedicated consoles"," $98.95 ",203,"MARJORIE","ALTRECHE","Analyst",24,48047,"Web"
204,"First","1972-1980","Coleco Telstar series","Dedicated consoles"," $50.00 ",204,"CYRUS","ALANIS","Senior Manager",36,186356,"Finance"
205,"Second","1976-1984","Fairchild Channel F","Game cartridges"," $169.95 ",205,"ISABELL","ARKINS","Analyst",22,48539,"Operations"
206,"Second","1976-1985","Atari 2600","Game cartridges"," $199.00 ",206,"ROBBIE","ANGUS","Analyst",22,45146,"Marketing"
207,"Second","1976-1986","Mattel Intellivision","Game cartridges"," $299.00 ",207,"TIFFANY","ALTIZER","Senior Analyst",25,67321,"IT"
208,"Second","1976-1987","Magnavox Odyssey 2","Game cartridges"," $199.00 ",208,"JODIE","ANIELLO","Analyst",24,43137,"IT"
209,"Second","1976-1988","ColecoVision","Game cartridges"," $199.00 ",209,"MARCY","ANNICCHIARICO","Analyst",24,46974,"Web"
210,"Third","1983-1991","Nintendo Entertainment System","Game cartridges"," $180.00 ",210,"WILHELMINA","AREND","Analyst",25,48602,"Marketing"
211,"Third","1983-1992","Sega Master System","Game cartridges"," $199.99 ",211,"NORA","AMBROZIAK","Analyst",22,43036,"Web"
212,"Third","1983-1993","Atari 7800","Game cartridges"," $140.00 ",212,"JAIME","ACHTERHOF","Analyst",23,49318,"Finance"
213,"Fourth","1987-1996","TurboGrafx-16","Game cartridges"," $199.00 ",213,"CHRISTA","ANENE","Analyst",23,48356,"Web"
214,"Fourth","1987-1997","Sega Genesis","Game cartridges"," $189.99 ",214,"BRADLEY","ABES","Analyst",25,49894,"Operations"
215,"Fourth","1987-1998","Neo Geo","Game cartridges"," $650.00 ",215,"LUCILE","ANNA","Analyst",24,42344,"Marketing"
216,"Fourth","1987-1999","Super Nintendo Entertainment System","Game cartridges"," $199.99 ",216,"LYNDON","ALFREDS","Analyst",24,43343,"Web"
217,"Fourth","1987-2000","Game Gear","Game cartridges"," $149.99 ",217,"DARA","ARIEL","Analyst",22,47750,"Operations"
218,"Fourth","1987-2001","Game Boy","Game cartridges"," $89.95 ",218,"KENT","ACKMANN","Analyst",22,42440,"Marketing"
219,"Fifth","1993-2001","Sega Saturn","Optical media"," $399.99 ",219,"ANTIONETTE","ARCHEY","Analyst",25,45236,"Web"
220,"Fifth","1993-2002","Sony PlayStation","Optical Meda"," $299.99 ",220,"OTIS","ACTON","Analyst",24,41514,"Operations"
221,"Fifth","1993-2003","Game Boy Color","Game Cartridges"," $69.99 ",221,"CHANCE","ALBERICO","Analyst",23,45084,"IT"
222,"Fifth","1993-2004","Nintendo 64","Game Cartridges"," $199.99 ",222,"CONNIE","ALTIERI","Analyst",24,41676,"Marketing"
223,"Sixth","1998-2006","Sega Dreamcast","Optical media"," $199.99 ",223,"ANGELIA","ANHORN","Analyst",23,46127,"Marketing"
224,"Sixth","1998-2007","Sony PlayStation 2","Optical media"," $299.99 ",224,"SHIRLEY","ALDRIDGE","Associate",29,99416,"Management"
225,"Sixth","1998-2008","Nintendo GameCube","Optical media"," $199.99 ",225,"TESSIE","ARGULEWICZ","Analyst",25,47899,"Operations"
226,"Sixth","1998-2009","Game Boy Advance","Game Cartridges"," $99.99 ",226,"DARCY","ANTONUCCI","Analyst",23,45927,"Finance"
227,"Sixth","1998-2010","Microsoft Xbox","Optical media"," $299.99 ",227,"CARMINE","ALARIE","Analyst",23,48891,"Management"
228,"Seventh","2004-2014","Microsoft Xbox 360","Optical media, digital distribution"," $399.99 ",228,"SANFORD","AITA","Analyst",22,41284,"Finance"
229,"Seventh","2004-2015","Sony PlayStation 3","Optical media, digital distribution"," $599.99 ",229,"MICHEAL","ABLEMAN","Director",43,313649,"IT"
230,"Seventh","2004-2016","Nintendo DS","Game Cartridges, Digital distribution"," $149.99 ",230,"ROLLAND","ALEXANDERS","Analyst",22,49111,"Marketing"
231,"Seventh","2004-2017","Playstation Portable","Optical media, digital distribution"," $249.99 ",231,"KRIS","AHNELL","Senior Analyst",25,51509,"Marketing"
